rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance_class_weights,param_loss,param_model__architecture,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,30.77143144607544,3.126967046930481,0.6246913274129232,0.055436314665944945,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",0.001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 0.001}",0.8618042034236968,0.8587172293850469,0.8652517637398807,0.8619243988495414,0.0026690660056682912,1
2,59.894261837005615,1.6576479942686624,0.5393146673838297,0.04740878734655934,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",0.001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 0.001}",0.8631001337087584,0.8569731984815274,0.8623368129581341,0.8608033817161399,0.002726217446709356,2
3,30.741990009943645,0.5552331639416265,0.5948147773742676,0.240987534883273,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",0.001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 0.001}",0.8629073587626088,0.8538016869556528,0.8606484808814359,0.8591191755332325,0.003871467930043315,3
4,63.45027232170105,5.239255627450324,0.3952343463897705,0.02986953724292926,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",0.001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 0.001}",0.8610433386221886,0.8551947642688151,0.8597112322195137,0.8586497783701725,0.002502860856093221,4
5,76.18014391263326,0.6370710170280264,3.400373617808024,4.528052789149204,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",0.0001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 0.0001}",0.8614119239308831,0.8537591952281243,0.8551459902872578,0.8567723698154217,0.0033291537389883406,5
6,86.83794395128886,2.0657607160520035,0.949954112370809,0.19192811257005438,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",0.0001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 0.0001}",0.8562763439146094,0.8489639018492983,0.8522447793003411,0.8524950083547497,0.002990530964492816,6
7,27.050798336664837,4.0260499924600275,0.8728365898132324,0.14409178492476749,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",0.001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 0.001}",0.8474547044083001,0.8409931228763563,0.8503997219382105,0.8462825164076223,0.003928659229246757,7
8,29.946195363998413,0.8776274497661634,0.5725087324778239,0.13060034217249128,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",0.001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 0.001}",0.8492239665956546,0.8378726190578807,0.8422431462736889,0.8431132439757415,0.004674831564820927,8
9,57.92178010940552,0.393627241506562,0.5385798613230387,0.05736080431850094,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",0.0001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 0.0001}",0.8370869741353153,0.8270604731920101,0.823602081597959,0.8292498429750949,0.005718717031020451,9
10,61.72677596410116,16.458563647914737,0.7402413686116537,0.17185469383684995,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",0.0001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 0.0001}",0.8102079513912106,0.8252957573201758,0.8362010535425628,0.823901587417983,0.01065733306694793,10
